query_id,doc_id,is_relevant
q_auth_sso,policy-auth,true
q_privacy_boundary,policy-privacy,true
q_eval_launch,policy-eval,true
q_eval_launch,policy-support,true
q_billing_invoice,policy-billing,true
q_enterprise_rollout,policy-auth,true
q_enterprise_rollout,policy-support,true
q_enterprise_rollout,policy-release,true
q_data_residency,policy-privacy,true
q_data_residency,policy-security-review,true
q_support_escalation,policy-support,true
q_support_escalation,policy-incident,true
q_rollback_launch,policy-auth,true
q_rollback_launch,policy-release,true
q_citation_eval,policy-eval,true
q_external_service,policy-privacy,true
q_external_service,policy-security-review,true
q_known_issues,policy-support,true
q_known_issues,policy-release,true
q_failure_cases,policy-eval,true
q_failure_cases,policy-feedback,true
q_saml_oidc,policy-auth,true
q_tenant_isolation,policy-privacy,true
q_tenant_isolation,policy-security-review,true
q_api_latency,policy-latency,true
q_api_latency,policy-observability,true
q_incident_comms,policy-incident,true
q_incident_comms,policy-support,true
q_onboarding_setup,policy-onboarding,true
q_onboarding_setup,policy-auth,true
q_feedback_loop,policy-feedback,true
q_feedback_loop,policy-eval,true
q_security_approval,policy-security-review,true
q_security_approval,policy-release,true
q_release_gate,policy-release,true
q_release_gate,policy-eval,true
q_release_gate,policy-security-review,true
