query_id,run_id,rank,doc_id,score
q_auth_sso,run_1,1,policy-auth,0.91
q_auth_sso,run_1,2,policy-support,0.83
q_auth_sso,run_1,3,policy-security-review,0.75
q_auth_sso,run_1,4,policy-release,0.67
q_auth_sso,run_1,5,policy-privacy,0.59
q_auth_sso,run_2,1,policy-auth,0.90
q_auth_sso,run_2,2,policy-eval,0.82
q_auth_sso,run_2,3,policy-support,0.74
q_auth_sso,run_2,4,policy-release,0.66
q_auth_sso,run_2,5,policy-latency,0.58
q_auth_sso,run_3,1,policy-support,0.89
q_auth_sso,run_3,2,policy-auth,0.81
q_auth_sso,run_3,3,policy-privacy,0.73
q_auth_sso,run_3,4,policy-onboarding,0.65
q_auth_sso,run_3,5,policy-release,0.57
q_privacy_boundary,run_1,1,policy-privacy,0.91
q_privacy_boundary,run_1,2,policy-security-review,0.83
q_privacy_boundary,run_1,3,policy-auth,0.75
q_privacy_boundary,run_1,4,policy-eval,0.67
q_privacy_boundary,run_1,5,policy-support,0.59
q_privacy_boundary,run_2,1,policy-privacy,0.90
q_privacy_boundary,run_2,2,policy-security-review,0.82
q_privacy_boundary,run_2,3,policy-support,0.74
q_privacy_boundary,run_2,4,policy-auth,0.66
q_privacy_boundary,run_2,5,policy-release,0.58
q_privacy_boundary,run_3,1,policy-privacy,0.89
q_privacy_boundary,run_3,2,policy-security-review,0.81
q_privacy_boundary,run_3,3,policy-eval,0.73
q_privacy_boundary,run_3,4,policy-incident,0.65
q_privacy_boundary,run_3,5,policy-support,0.57
q_eval_launch,run_1,1,policy-eval,0.91
q_eval_launch,run_1,2,policy-support,0.83
q_eval_launch,run_1,3,policy-feedback,0.75
q_eval_launch,run_1,4,policy-release,0.67
q_eval_launch,run_1,5,policy-privacy,0.59
q_eval_launch,run_2,1,policy-support,0.90
q_eval_launch,run_2,2,policy-eval,0.82
q_eval_launch,run_2,3,policy-release,0.74
q_eval_launch,run_2,4,policy-auth,0.66
q_eval_launch,run_2,5,policy-feedback,0.58
q_eval_launch,run_3,1,policy-eval,0.89
q_eval_launch,run_3,2,policy-privacy,0.81
q_eval_launch,run_3,3,policy-feedback,0.73
q_eval_launch,run_3,4,policy-support,0.65
q_eval_launch,run_3,5,policy-release,0.57
q_billing_invoice,run_1,1,policy-support,0.91
q_billing_invoice,run_1,2,policy-auth,0.83
q_billing_invoice,run_1,3,policy-privacy,0.75
q_billing_invoice,run_1,4,policy-onboarding,0.67
q_billing_invoice,run_1,5,policy-incident,0.59
q_billing_invoice,run_2,1,policy-privacy,0.90
q_billing_invoice,run_2,2,policy-support,0.82
q_billing_invoice,run_2,3,policy-eval,0.74
q_billing_invoice,run_2,4,policy-feedback,0.66
q_billing_invoice,run_2,5,policy-release,0.58
q_billing_invoice,run_3,1,policy-auth,0.89
q_billing_invoice,run_3,2,policy-eval,0.81
q_billing_invoice,run_3,3,policy-support,0.73
q_billing_invoice,run_3,4,policy-latency,0.65
q_billing_invoice,run_3,5,policy-onboarding,0.57
q_enterprise_rollout,run_1,1,policy-auth,0.91
q_enterprise_rollout,run_1,2,policy-support,0.83
q_enterprise_rollout,run_1,3,policy-release,0.75
q_enterprise_rollout,run_1,4,policy-eval,0.67
q_enterprise_rollout,run_1,5,policy-onboarding,0.59
q_enterprise_rollout,run_2,1,policy-privacy,0.90
q_enterprise_rollout,run_2,2,policy-auth,0.82
q_enterprise_rollout,run_2,3,policy-support,0.74
q_enterprise_rollout,run_2,4,policy-release,0.66
q_enterprise_rollout,run_2,5,policy-security-review,0.58
q_enterprise_rollout,run_3,1,policy-auth,0.89
q_enterprise_rollout,run_3,2,policy-eval,0.81
q_enterprise_rollout,run_3,3,policy-privacy,0.73
q_enterprise_rollout,run_3,4,policy-support,0.65
q_enterprise_rollout,run_3,5,policy-release,0.57
q_data_residency,run_1,1,policy-privacy,0.91
q_data_residency,run_1,2,policy-security-review,0.83
q_data_residency,run_1,3,policy-auth,0.75
q_data_residency,run_1,4,policy-observability,0.67
q_data_residency,run_1,5,policy-support,0.59
q_data_residency,run_2,1,policy-security-review,0.90
q_data_residency,run_2,2,policy-privacy,0.82
q_data_residency,run_2,3,policy-release,0.74
q_data_residency,run_2,4,policy-incident,0.66
q_data_residency,run_2,5,policy-auth,0.58
q_data_residency,run_3,1,policy-privacy,0.89
q_data_residency,run_3,2,policy-auth,0.81
q_data_residency,run_3,3,policy-onboarding,0.73
q_data_residency,run_3,4,policy-support,0.65
q_data_residency,run_3,5,policy-security-review,0.57
q_support_escalation,run_1,1,policy-support,0.91
q_support_escalation,run_1,2,policy-incident,0.83
q_support_escalation,run_1,3,policy-observability,0.75
q_support_escalation,run_1,4,policy-feedback,0.67
q_support_escalation,run_1,5,policy-release,0.59
q_support_escalation,run_2,1,policy-incident,0.90
q_support_escalation,run_2,2,policy-support,0.82
q_support_escalation,run_2,3,policy-privacy,0.74
q_support_escalation,run_2,4,policy-observability,0.66
q_support_escalation,run_2,5,policy-auth,0.58
q_support_escalation,run_3,1,policy-support,0.89
q_support_escalation,run_3,2,policy-release,0.81
q_support_escalation,run_3,3,policy-feedback,0.73
q_support_escalation,run_3,4,policy-incident,0.65
q_support_escalation,run_3,5,policy-onboarding,0.57
q_rollback_launch,run_1,1,policy-release,0.91
q_rollback_launch,run_1,2,policy-auth,0.83
q_rollback_launch,run_1,3,policy-support,0.75
q_rollback_launch,run_1,4,policy-incident,0.67
q_rollback_launch,run_1,5,policy-eval,0.59
q_rollback_launch,run_2,1,policy-auth,0.90
q_rollback_launch,run_2,2,policy-release,0.82
q_rollback_launch,run_2,3,policy-security-review,0.74
q_rollback_launch,run_2,4,policy-support,0.66
q_rollback_launch,run_2,5,policy-observability,0.58
q_rollback_launch,run_3,1,policy-support,0.89
q_rollback_launch,run_3,2,policy-release,0.81
q_rollback_launch,run_3,3,policy-auth,0.73
q_rollback_launch,run_3,4,policy-feedback,0.65
q_rollback_launch,run_3,5,policy-eval,0.57
q_citation_eval,run_1,1,policy-eval,0.91
q_citation_eval,run_1,2,policy-feedback,0.83
q_citation_eval,run_1,3,policy-support,0.75
q_citation_eval,run_1,4,policy-release,0.67
q_citation_eval,run_1,5,policy-privacy,0.59
q_citation_eval,run_2,1,policy-eval,0.90
q_citation_eval,run_2,2,policy-privacy,0.82
q_citation_eval,run_2,3,policy-feedback,0.74
q_citation_eval,run_2,4,policy-auth,0.66
q_citation_eval,run_2,5,policy-support,0.58
q_citation_eval,run_3,1,policy-feedback,0.89
q_citation_eval,run_3,2,policy-eval,0.81
q_citation_eval,run_3,3,policy-support,0.73
q_citation_eval,run_3,4,policy-latency,0.65
q_citation_eval,run_3,5,policy-release,0.57
q_external_service,run_1,1,policy-security-review,0.91
q_external_service,run_1,2,policy-privacy,0.83
q_external_service,run_1,3,policy-release,0.75
q_external_service,run_1,4,policy-auth,0.67
