query_id,query
q_auth_sso,What should enterprise authentication include before launch?
q_privacy_boundary,Can customer documents leave the tenant boundary?
q_eval_launch,What should we check before launching a mocked GenAI feature?
q_billing_invoice,How should invoice disputes be handled?
q_enterprise_rollout,What should be ready for an enterprise rollout?
q_data_residency,What protects private customer content in a hosted tenant?
q_support_escalation,Who needs to be ready before support escalation starts?
q_rollback_launch,What launch plan should include rollback details?
q_citation_eval,How do we verify generated answers cite the right evidence?
q_external_service,Can we send private content to a third-party service?
q_known_issues,What should customer-facing teams receive before rollout?
q_failure_cases,How should we review failure cases for the assistant?
q_saml_oidc,Which identity protocols do enterprise customers require?
q_tenant_isolation,How should tenant isolation affect retrieval?
q_api_latency,What should we monitor if answer generation gets slow?
q_incident_comms,What happens when a production issue affects customers?
q_onboarding_setup,What should happen during customer onboarding?
q_feedback_loop,How should product teams learn from bad assistant answers?
q_security_approval,Who should approve risky integrations before launch?
q_release_gate,What should block a production release?
